"Reserve","model","AICc","R.2","prediction_error","sensor_rfu","rfu_temp_corrected","fdom_qsu","turb","season","temp","X.Intercept.","fdom_qsu.sensor_rfu","fdom_qsu.temp","fdom_qsu.turb","sensor_rfu.temp","sensor_rfu.turb","fdom_qsu.sensor_rfu.turb","df","logLik"
"ELK","best_AIC",164,0.782,29.31,0.365,NA,0.0242,-0.0201,"+",0.2324,-1.216,-0.012,NA,NA,NA,NA,NA,10,-70.6573285950312
"ELK","rfu_season",190.93,0.677,34.86,0.232,NA,NA,NA,"+",NA,1.851,NA,NA,NA,NA,NA,NA,6,-88.9749594767218
"ELK","tc_rfu_season",189.99,0.681,34.67,NA,0.232,NA,NA,"+",NA,1.868,NA,NA,NA,NA,NA,NA,6,-88.5059287310923
"ELK","no_fdom_ols",167.15,0.775,29.86,0.497,NA,NA,0.0247,"+",0.2605,-1.448,NA,NA,NA,-0.0105,-0.0166,NA,10,-72.2324976044015
"ELK","rfu_only",219.1,0.531,39.18,0.41,NA,NA,NA,NA,NA,2.161,NA,NA,NA,NA,NA,NA,3,-106.416808930333
"ELK","tc_rfu_only",217.58,0.538,38.9,NA,0.403,NA,NA,NA,NA,2.185,NA,NA,NA,NA,NA,NA,3,-105.65441114189
"GND","best_AIC",-769.96,1,71.96,38.775,NA,1.5298,9.8675,NA,-2.0731,-103.06,-0.5831,0.0059,-0.1023,0.6451,-3.3368,0.0345,12,318.978936850696
"GND","no_fdom_ols",47.6,0.883,35.93,6.153,NA,NA,-0.1992,NA,0.7649,-18.084,NA,NA,NA,-0.2069,0.0614,NA,7,1.8648165638442
"GND","rfu_only",8.47,0.849,10.75,1.294,NA,NA,NA,NA,NA,0.407,NA,NA,NA,NA,NA,NA,3,0.479487744990944
"GND","tc_rfu_only",7.6,0.86,11.06,NA,1.173,NA,NA,NA,NA,0.362,NA,NA,NA,NA,NA,NA,3,0.915465460926022
"GTM","best_AIC",52.24,0.805,25.96,-0.104,NA,0.0084,NA,"+",-0.2157,4.007,-0.0103,5e-04,NA,0.0623,NA,NA,11,-14.1217051466855
"GTM","rfu_season",132.98,0.631,32.35,-0.249,NA,NA,NA,"+",NA,2.168,NA,NA,NA,NA,NA,NA,6,-60.183276470568
"GTM","tc_rfu_season",139.98,0.612,33.34,NA,-0.232,NA,NA,"+",NA,2.1,NA,NA,NA,NA,NA,NA,6,-63.6838860943759
"GTM","no_fdom_ols",82.28,0.756,27.38,-1.137,NA,NA,0.0105,"+",-0.0776,3.672,NA,NA,NA,0.0458,0.0011,NA,10,-30.3113847259823
"GTM","rfu_only",252.45,0.114,51.09,-0.205,NA,NA,NA,NA,NA,2.453,NA,NA,NA,NA,NA,NA,3,-123.139476904619
"GTM","tc_rfu_only",266.4,0.024,52.88,NA,-0.088,NA,NA,NA,NA,2.125,NA,NA,NA,NA,NA,NA,3,-130.113722600242
"LKS","best_AIC",118.31,0.902,22.94,1.014,NA,-0.1746,0.0857,"+",0.8106,41.265,NA,-0.0098,NA,NA,-0.1444,NA,10,-46.1843676477765
"LKS","rfu_season",199.84,0.277,51.67,0.374,NA,NA,NA,"+",NA,2.505,NA,NA,NA,NA,NA,NA,5,-94.2063224403486
"LKS","tc_rfu_season",199.86,0.277,51.59,NA,0.367,NA,NA,"+",NA,2.63,NA,NA,NA,NA,NA,NA,5,-94.2135662826085
"LKS","no_fdom_ols",186.81,0.565,46.16,0.969,NA,NA,-0.1277,"+",-1.4605,19.923,NA,NA,NA,0.0214,-0.1165,NA,9,-82.0345229030344
"LKS","rfu_only",208.86,0.034,65.85,0.221,NA,NA,NA,NA,NA,4.641,NA,NA,NA,NA,NA,NA,3,-101.157327631971
"LKS","tc_rfu_only",208,0.051,65.41,NA,0.271,NA,NA,NA,NA,4.536,NA,NA,NA,NA,NA,NA,3,-100.727095897185
"NIW_isco","best_AIC",71.22,0.866,16.52,4.453,NA,0.024,0.0137,NA,0.1247,-4.938,NA,NA,NA,-0.1174,NA,NA,7,-27.735506596816
"NIW_isco","no_fdom_ols",96.52,0.81,19.76,3.762,NA,NA,0.0106,NA,0.0976,-1.924,NA,NA,NA,-0.0979,0.0034,NA,7,-40.3867257054375
"NIW_isco","rfu_only",102.31,0.766,20.54,0.922,NA,NA,NA,NA,NA,1.313,NA,NA,NA,NA,NA,NA,3,-47.9801465601639
"NIW_isco","tc_rfu_only",104.7,0.758,20.84,NA,0.809,NA,NA,NA,NA,1.357,NA,NA,NA,NA,NA,NA,3,-49.1740801951081
"OWC","best_AIC",287.83,0.862,26.37,0.265,NA,0.0058,-0.0078,"+",0.1618,1.433,-0.005,0.0014,NA,NA,0.0047,NA,12,-130.580912400664
"OWC","rfu_season",397.93,0.642,42.41,0.216,NA,NA,NA,"+",NA,1.741,NA,NA,NA,NA,NA,NA,6,-192.622191878052
"OWC","tc_rfu_season",397.98,0.641,42.5,NA,0.225,NA,NA,"+",NA,1.77,NA,NA,NA,NA,NA,NA,6,-192.64799669031
"OWC","no_fdom_ols",295.83,0.848,24.83,0.088,NA,NA,-0.0051,"+",0.2449,1.556,NA,NA,NA,-0.0042,0.0038,NA,10,-136.989535646332
"OWC","rfu_only",437.02,0.491,54.08,0.296,NA,NA,NA,NA,NA,2.731,NA,NA,NA,NA,NA,NA,3,-215.417194079006
"OWC","tc_rfu_only",436.37,0.494,53.77,NA,0.289,NA,NA,NA,NA,2.765,NA,NA,NA,NA,NA,NA,3,-215.08981594458
"PDB","best_AIC",-7.43,0.765,18.27,1.968,NA,0.0517,0.115,"+",0.074,-0.421,NA,NA,-0.007,-0.1107,NA,NA,10,15.6122129667843
"PDB","rfu_season",30.26,0.51,25.99,0.76,NA,NA,NA,"+",NA,1.099,NA,NA,NA,NA,NA,NA,5,-9.65295573716129
"PDB","tc_rfu_season",33.02,0.491,26.8,NA,0.783,NA,NA,"+",NA,1.15,NA,NA,NA,NA,NA,NA,5,-11.0334049042657
"PDB","no_fdom_ols",-4.34,0.744,18.54,1.613,NA,NA,0.1046,"+",0.0734,0.074,NA,NA,NA,-0.0746,-0.0714,NA,9,12.6934040536839
"PDB","rfu_only",59.3,0.203,34.22,0.636,NA,NA,NA,NA,NA,1.245,NA,NA,NA,NA,NA,NA,3,-26.4678165195384
"PDB","tc_rfu_only",61.04,0.183,34.96,NA,0.619,NA,NA,NA,NA,1.293,NA,NA,NA,NA,NA,NA,3,-27.3361788012474
"WEL","best_AIC",307.19,0.42,109.97,0.223,NA,-0.0665,NA,NA,0.1409,0.198,NA,0.0051,NA,NA,NA,NA,6,-146.979764395428
"WEL","rfu_season",327.1,0.219,88.7,0.397,NA,NA,NA,"+",NA,0.541,NA,NA,NA,NA,NA,NA,5,-158.116578128675
"WEL","tc_rfu_season",326.77,0.222,87.91,NA,0.563,NA,NA,"+",NA,0.521,NA,NA,NA,NA,NA,NA,5,-157.950738925626
"WEL","no_fdom_ols",312.19,0.439,115.92,3.126,NA,NA,0.0057,"+",0.4603,-2.051,NA,NA,NA,-0.2025,-0.0797,NA,9,-145.712390527151
"WEL","rfu_only",340.46,0.009,116.06,0.472,NA,NA,NA,NA,NA,1.889,NA,NA,NA,NA,NA,NA,3,-167.062738559233
"WEL","tc_rfu_only",339.43,0.022,114.61,NA,0.835,NA,NA,NA,NA,1.709,NA,NA,NA,NA,NA,NA,3,-166.545188339198
