"Reserve","model","AICc","R.2","prediction_error","sensor_rfu","fdom_qsu","turb","season","temp","X.Intercept.","fdom_qsu.sensor_rfu","fdom_qsu.temp","fdom_qsu.turb","sensor_rfu.temp","sensor_rfu.turb","fdom_qsu.sensor_rfu.turb","df","logLik"
"ELK","best_AIC",164,0.782,29.31,0.365,0.0242,-0.0201,"+",0.2324,-1.216,-0.012,NA,NA,NA,NA,NA,10,-70.6573285950311
"ELK","no_fdom_ols",167.15,0.775,29.86,0.497,NA,0.0247,"+",0.2605,-1.448,NA,NA,NA,-0.0105,-0.0166,NA,10,-72.2324976044015
"ELK","rfu_only",219.1,0.531,39.18,0.41,NA,NA,NA,NA,2.161,NA,NA,NA,NA,NA,NA,3,-106.416808930333
"GND","best_AIC",16.05,0.936,14.57,4.2,0.1017,0.0427,"+",NA,-6.832,-0.0431,NA,NA,NA,NA,NA,7,3.28292890857853
"GND","no_fdom_ols",28.46,0.911,23.63,-4.397,NA,0.2064,"+",-0.6491,15.283,NA,NA,NA,0.2435,-0.0709,NA,8,-0.231733908384925
"GND","rfu_only",19.89,0.842,18.12,1.569,NA,NA,NA,NA,-0.488,NA,NA,NA,NA,NA,NA,3,-6.23862359867555
"GTM","best_AIC",218.52,0.801,37.36,0.27,-0.0101,-0.0325,"+",0.0336,1.999,NA,NA,NA,-0.0152,0.0118,NA,11,-97.4505985812816
"GTM","no_fdom_ols",268.4,0.731,40.07,0.143,NA,-0.0671,"+",0.026,1.34,NA,NA,NA,-0.0143,0.0235,NA,10,-123.530985742009
"GTM","rfu_only",398.79,0.383,54.22,0.278,NA,NA,NA,NA,1.151,NA,NA,NA,NA,NA,NA,3,-196.325082342647
"LKS","best_AIC",400.05,0.467,33.69,-0.438,0.0036,NA,NA,0.3453,1.776,0.0104,-0.0034,NA,NA,NA,NA,7,-192.546698091339
