"Reserve","model","AICc","R.2","prediction_error","sensor_rfu","rfu_temp_corrected","fdom_qsu","turb","season","temp","X.Intercept.","fdom_qsu.sensor_rfu","fdom_qsu.temp","fdom_qsu.turb","sensor_rfu.temp","sensor_rfu.turb","fdom_qsu.sensor_rfu.turb","df","logLik"
"GND","best_AIC",-750.39,1,54.52,3.88,NA,0.1151,-0.8886,"+",-0.291,1.287,-0.0875,2e-04,0.0133,0.1021,NA,NA,11,320.194256297925
"GND","rfu_season",21.42,0.821,28.66,1.755,NA,NA,NA,"+",NA,-0.975,NA,NA,NA,NA,NA,NA,4,-2.70794765965635
"GND","tc_rfu_season",26.92,0.69,38.08,NA,1.597,NA,NA,"+",NA,-0.762,NA,NA,NA,NA,NA,NA,4,-5.45793566162105
"GND","no_fdom_ols",159.92,0.897,56.14,-6.19,NA,NA,0.1641,"+",-0.808,20.103,NA,NA,NA,0.2996,-0.0499,NA,8,0.0394562141022785
"GND","rfu_only",17.23,0.786,26.65,1.57,NA,NA,NA,NA,NA,-0.612,NA,NA,NA,NA,NA,NA,3,-3.613075993676
"GND","tc_rfu_only",21.8,0.661,34.46,NA,1.423,NA,NA,NA,NA,-0.401,NA,NA,NA,NA,NA,NA,3,-5.90089050803398
"GRB","best_AIC",27.53,0.977,28.15,-0.961,NA,0.0118,NA,NA,-0.0641,2.668,NA,NA,NA,0.0687,NA,NA,6,-4.53583389544584
"GRB","rfu_season",51.83,0.884,37.83,0.388,NA,NA,NA,"+",NA,1.875,NA,NA,NA,NA,NA,NA,4,-20.5801194999913
"GRB","tc_rfu_season",49.88,0.895,35.84,NA,0.393,NA,NA,"+",NA,1.846,NA,NA,NA,NA,NA,NA,4,-19.6076483072534
"GRB","no_fdom_ols",35.46,0.98,27.26,-1.526,NA,NA,0.0887,"+",-0.1535,4.224,NA,NA,NA,0.1162,-0.0626,NA,8,-3.1856895557549
"GRB","rfu_only",49.24,0.88,35.24,0.397,NA,NA,NA,NA,NA,1.981,NA,NA,NA,NA,NA,NA,3,-20.8705742563913
"GRB","tc_rfu_only",47.37,0.891,33.6,NA,0.402,NA,NA,NA,NA,1.952,NA,NA,NA,NA,NA,NA,3,-19.9332259966819
"GTM","best_AIC",32.21,0.917,20.32,0.292,NA,NA,0.0813,NA,NA,0.88,NA,NA,NA,NA,NA,NA,4,-11.3374919489177
"GTM","rfu_season",40.57,0.91,22.95,0.285,NA,NA,NA,"+",NA,1.128,NA,NA,NA,NA,NA,NA,6,-12.5336194421659
"GTM","tc_rfu_season",42.29,0.905,24.05,NA,0.315,NA,NA,"+",NA,1.183,NA,NA,NA,NA,NA,NA,6,-13.3958335853625
"GTM","no_fdom_ols",50.5,0.925,25.93,0.243,NA,NA,0.0059,"+",0.0019,1.157,NA,NA,NA,-5e-04,0.0063,NA,10,-9.7484209302585
"GTM","rfu_only",47.16,0.853,25.19,0.332,NA,NA,NA,NA,NA,1.303,NA,NA,NA,NA,NA,NA,3,-20.1353551010172
"GTM","tc_rfu_only",46.34,0.857,24.59,NA,0.365,NA,NA,NA,NA,1.342,NA,NA,NA,NA,NA,NA,3,-19.7239208503829
"HEE_w2","best_AIC",-286.34,1,57.91,-8.174,NA,0.0287,-0.4635,NA,NA,7.383,NA,NA,NA,NA,NA,NA,5,133.167878250283
"HEE_w2","no_fdom_ols",-277.99,1,36.5,-7.889,NA,NA,-0.4677,NA,-0.092,11.55,NA,NA,NA,NA,NA,NA,5,128.993835375878
"HEE_w2","rfu_only",Inf,0.02,29.38,-0.32,NA,NA,NA,NA,NA,1.003,NA,NA,NA,NA,NA,NA,3,5.13449007555923
"HEE_w2","tc_rfu_only",Inf,0.002,28.04,NA,-0.096,NA,NA,NA,NA,0.901,NA,NA,NA,NA,NA,NA,3,5.09684917833676
"HEE","best_AIC",11.76,0.39,43.13,0.079,NA,-0.0197,NA,"+",NA,0.642,NA,NA,NA,NA,NA,NA,7,3.918765537843
"HEE","rfu_season",12.44,0.289,38.93,-0.115,NA,NA,NA,"+",NA,0.611,NA,NA,NA,NA,NA,NA,6,1.77874357975219
"HEE","tc_rfu_season",12.43,0.289,38.91,NA,-0.109,NA,NA,"+",NA,0.611,NA,NA,NA,NA,NA,NA,6,1.78440802676649
"HEE","no_fdom_ols",23.13,0.431,42.48,12.403,NA,NA,0.411,"+",0.0595,-1.389,NA,NA,NA,-0.375,-2.5329,NA,10,4.90534441847652
"HEE","rfu_only",12.72,0.01,42.28,0.084,NA,NA,NA,NA,NA,0.783,NA,NA,NA,NA,NA,NA,3,-2.85940165954331
"HEE","tc_rfu_only",12.73,0.009,42.35,NA,0.077,NA,NA,NA,NA,0.783,NA,NA,NA,NA,NA,NA,3,-2.86557635420031
"LKS","best_AIC",108.77,0.824,19.93,-0.892,NA,0.0252,0.1109,"+",0.2942,0.672,0.0065,-0.0024,-0.0024,NA,0.0857,NA,11,-41.3545756118987
"LKS","rfu_season",156.99,0.587,26.41,0.689,NA,NA,NA,"+",NA,1.806,NA,NA,NA,NA,NA,NA,4,-74.2172200297298
"LKS","tc_rfu_season",158.72,0.577,26.66,NA,0.657,NA,NA,"+",NA,2.091,NA,NA,NA,NA,NA,NA,4,-75.0846101575925
"LKS","no_fdom_ols",156.21,0.639,25.61,0.186,NA,NA,-0.4026,"+",0.0591,3.697,NA,NA,NA,-0.0237,0.1199,NA,8,-69.0446346648754
"LKS","rfu_only",156.35,0.578,26.57,0.686,NA,NA,NA,NA,NA,1.942,NA,NA,NA,NA,NA,NA,3,-75.0103832360575
"LKS","tc_rfu_only",156.58,0.577,26.34,NA,0.655,NA,NA,NA,NA,2.07,NA,NA,NA,NA,NA,NA,3,-75.1231394611216
"MAR","best_AIC",26.65,0.895,23.35,1.046,NA,NA,NA,NA,0.0521,0.63,NA,NA,NA,NA,NA,NA,4,-7.65667152015082
"MAR","rfu_season",27.21,0.915,18.68,0.995,NA,NA,NA,"+",NA,1.383,NA,NA,NA,NA,NA,NA,5,-5.87633269443346
"MAR","tc_rfu_season",26.94,0.916,18.68,NA,0.899,NA,NA,"+",NA,1.47,NA,NA,NA,NA,NA,NA,5,-5.74260969036231
"MAR","no_fdom_ols",54.27,0.92,26.94,0.301,NA,NA,-0.0101,"+",0.0472,0.757,NA,NA,NA,0.0203,0.0146,NA,9,-5.27790442788866
"MAR","rfu_only",26.81,0.87,22.38,1.079,NA,NA,NA,NA,NA,1.959,NA,NA,NA,NA,NA,NA,3,-9.48255395819077
"MAR","tc_rfu_only",25.69,0.878,21.6,NA,0.981,NA,NA,NA,NA,1.971,NA,NA,NA,NA,NA,NA,3,-8.92058960466887
"NIW","best_AIC",10.66,0.972,12.74,2.316,NA,-0.0111,0.0316,"+",0.0058,0.524,-0.0072,0.0015,-5e-04,-0.0386,NA,NA,12,9.66930952833867
"NIW","rfu_season",77.87,0.895,21.75,0.994,NA,NA,NA,"+",NA,1.457,NA,NA,NA,NA,NA,NA,5,-33.4254127522458
"NIW","tc_rfu_season",79.06,0.893,21.78,NA,0.87,NA,NA,"+",NA,1.656,NA,NA,NA,NA,NA,NA,5,-34.0195409704261
"NIW","no_fdom_ols",51.41,0.941,17.79,1.697,NA,NA,0.0189,"+",0.1003,-0.325,NA,NA,NA,-0.0388,0.001,NA,9,-15.0673806481919
"NIW","rfu_only",89.74,0.865,23.58,1.158,NA,NA,NA,NA,NA,1.535,NA,NA,NA,NA,NA,NA,3,-41.6709945890999
"NIW","tc_rfu_only",84.56,0.875,23.04,NA,0.989,NA,NA,NA,NA,1.725,NA,NA,NA,NA,NA,NA,3,-39.0816008158621
